#{"t_start": 1704659355.9275568, "env_id": "None"}
r,l,t
2.0,159,44.272137
2.0,159,44.272137
1.0,159,44.272137
1.0,159,44.272137
0.0,159,44.272137
0.0,159,44.272137
1.0,189,52.665713
3.0,189,52.665713
3.0,189,52.665713
3.0,189,52.665713
0.0,189,52.665713
1.0,189,52.665713
5.0,234,65.471064
1.0,234,65.471064
1.0,234,65.471064
1.0,249,69.871864
2.0,249,69.871864
5.0,249,69.871864
5.0,279,78.52299
6.0,279,78.52299
4.0,279,78.52299
7.0,295,83.20936
2.0,295,83.20936
4.0,295,83.20936
0.0,204,110.774139
3.0,204,110.774139
5.0,204,110.774139
0.0,159,114.786977
0.0,159,114.786977
1.0,159,114.786977
0.0,174,114.786977
1.0,174,114.786977
3.0,174,114.786977
4.0,174,126.597186
1.0,174,126.597186
0.0,174,126.597186
9.0,301,128.402656
2.0,301,128.402656
4.0,301,128.402656
1.0,301,128.402656
4.0,301,128.402656
8.0,301,128.402656
2.0,294,134.727675
3.0,294,134.727675
6.0,294,134.727675
4.0,301,166.328969
6.0,301,166.328969
8.0,301,166.328969
1.0,204,170.723944
2.0,204,170.723944
3.0,204,170.723944
2.0,174,176.969252
3.0,174,176.969252
0.0,174,176.969252
1.0,189,179.238129
5.0,189,179.238129
1.0,189,179.238129
2.0,159,179.238129
1.0,159,179.238129
1.0,159,179.238129
6.0,279,187.481406
5.0,279,187.481406
1.0,279,187.481406
1.0,301,197.693166
6.0,301,197.693166
6.0,301,197.693166
2.0,279,205.935654
8.0,279,205.935654
1.0,279,205.935654
0.0,189,218.339061
2.0,189,218.339061
4.0,189,218.339061
1.0,184,229.781919
2.0,184,229.781919
1.0,184,229.782888
2.0,234,241.190136
2.0,234,241.190136
2.0,234,241.190136
1.0,174,245.204281
2.0,174,245.204281
1.0,174,245.204281
0.0,234,251.342242
6.0,234,251.342242
3.0,234,251.342242
9.0,301,253.219705
4.0,301,253.220669
4.0,301,253.220669
5.0,294,259.256562
4.0,294,259.256562
3.0,294,259.256562
3.0,249,273.174296
1.0,249,273.174296
4.0,249,273.174296
5.0,204,284.450038
0.0,204,284.450038
0.0,204,284.450038
3.0,249,285.490334
3.0,249,285.490334
3.0,249,285.490334
0.0,174,291.474255
2.0,174,291.474255
1.0,174,291.474255
0.0,159,301.521417
2.0,159,301.521417
0.0,159,301.521417
1.0,219,311.365884
4.0,219,311.365884
2.0,219,311.365884
7.0,301,321.138251
4.0,301,321.138251
5.0,301,321.138251
4.0,264,321.411523
2.0,264,321.411523
6.0,264,321.411523
2.0,159,326.551018
2.0,159,326.551018
3.0,159,326.551018
2.0,279,347.572507
4.0,279,347.572507
3.0,279,347.572507
5.0,189,352.186323
0.0,189,352.186323
3.0,189,352.186323
4.0,264,355.981208
3.0,264,355.981208
4.0,264,355.981208
2.0,249,358.123479
3.0,249,358.123479
4.0,249,358.123479
4.0,159,364.090287
2.0,159,364.090287
1.0,159,364.090287
2.0,204,381.594978
2.0,204,381.594978
4.0,204,381.594978
2.0,279,386.395675
2.0,279,386.395675
6.0,279,386.395675
4.0,294,400.562156
1.0,294,400.562156
5.0,294,400.562156
2.0,159,400.820429
3.0,159,400.820429
2.0,159,400.820429
2.0,204,402.510823
2.0,204,402.510823
