#{"t_start": 1704682204.2090302, "env_id": "None"}
r,l,t
2.0,164,41.727555
3.0,164,41.728552
1.0,164,41.728552
3.0,164,41.728552
1.0,164,41.728552
1.0,164,41.728552
7.0,174,44.268358
3.0,174,44.268358
2.0,174,44.268358
3.0,204,51.877708
3.0,204,51.877708
1.0,204,51.877708
7.0,204,51.877708
5.0,204,51.877708
2.0,204,51.877708
5.0,234,59.588232
3.0,234,59.588232
4.0,234,59.588232
6.0,234,59.588232
3.0,234,59.588232
2.0,234,59.588232
7.0,254,64.633516
3.0,254,64.633516
3.0,254,64.633516
3.0,204,93.673483
1.0,204,93.673483
4.0,204,93.673483
1.0,214,96.016428
6.0,214,96.016428
2.0,214,96.016428
1.0,204,103.278882
5.0,204,103.278882
1.0,204,103.278882
6.0,184,105.798133
2.0,184,105.798133
3.0,184,105.798133
5.0,194,108.258366
7.0,194,108.258366
1.0,194,108.258366
2.0,264,110.773407
5.0,264,110.773407
5.0,264,110.773407
2.0,194,113.231805
5.0,194,113.231805
3.0,194,113.231805
4.0,264,118.272121
6.0,264,118.272121
1.0,264,118.272121
2.0,154,134.560871
5.0,154,134.560871
2.0,154,134.560871
4.0,207,145.256822
1.0,207,145.256822
1.0,207,145.256822
0.0,164,147.028848
0.0,164,147.028848
1.0,164,147.028848
1.0,164,152.073924
4.0,164,152.073924
0.0,164,152.073924
1.0,174,162.201004
6.0,174,162.201004
2.0,174,162.20197
3.0,234,167.176588
3.0,234,167.176588
10.0,234,167.177585
6.0,214,167.177585
5.0,214,167.177585
4.0,214,167.177585
5.0,284,174.652699
6.0,284,174.652699
4.0,284,174.652699
1.0,194,182.980716
2.0,194,182.980716
1.0,194,182.980716
6.0,154,185.576675
0.0,154,185.577672
3.0,154,185.577672
1.0,184,191.0567
2.0,184,191.0567
1.0,184,191.0567
0.0,174,195.122228
2.0,174,195.122228
2.0,174,195.122228
1.0,164,202.496385
2.0,164,202.496385
1.0,164,202.496385
1.0,154,205.000792
3.0,154,205.001789
1.0,154,205.001789
1.0,164,215.088981
3.0,164,215.088981
2.0,164,215.088981
3.0,224,222.475396
2.0,224,222.475396
4.0,224,222.475396
1.0,164,225.998942
1.0,164,225.998942
0.0,164,225.998942
1.0,154,229.366617
5.0,154,229.366617
1.0,154,229.366617
4.0,194,231.091744
2.0,194,231.091744
1.0,194,231.091744
1.0,184,241.212102
3.0,184,241.212102
3.0,184,241.212102
3.0,154,241.212102
3.0,154,241.212102
0.0,154,241.212102
1.0,154,243.70806
1.0,154,243.70806
3.0,154,243.70806
2.0,154,261.609947
3.0,154,261.609947
0.0,154,261.609947
0.0,154,264.994792
0.0,154,264.994792
3.0,154,264.994792
3.0,154,270.011727
1.0,154,270.011727
