#{"t_start": 1704533698.9971275, "env_id": "None"}
r,l,t
1.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
1.0,154,57.574591
0.0,154,57.574591
1.0,154,57.574591
1.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
1.0,154,57.574591
1.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
3.0,154,57.574591
0.0,154,57.574591
0.0,154,57.574591
0.0,164,60.989267
2.0,164,60.989267
0.0,164,60.989267
0.0,164,60.989267
1.0,164,60.989267
1.0,164,60.989267
1.0,164,60.989267
0.0,164,60.989267
1.0,174,64.563506
0.0,174,64.563506
1.0,174,64.563506
1.0,174,64.563506
0.0,154,116.130229
0.0,154,116.130229
0.0,154,116.130229
2.0,154,116.130229
0.0,154,116.139766
0.0,154,116.139766
0.0,154,116.139766
0.0,154,116.139766
1.0,154,116.139766
0.0,154,116.139766
1.0,154,116.139766
0.0,154,116.139766
1.0,154,119.789578
0.0,154,119.789578
1.0,154,119.789578
0.0,154,119.789578
1.0,164,119.789578
0.0,164,119.789578
1.0,164,119.789578
0.0,164,119.789578
1.0,164,119.789578
0.0,164,119.789578
0.0,164,119.789578
1.0,164,119.789578
1.0,154,119.789578
1.0,154,119.789578
0.0,154,119.789578
0.0,154,119.789578
0.0,154,123.416838
1.0,154,123.416838
1.0,154,123.416838
0.0,154,123.416838
1.0,164,180.176294
0.0,164,180.176294
0.0,164,180.176294
3.0,164,180.176294
0.0,164,180.176294
0.0,164,180.176294
2.0,164,180.176294
0.0,164,180.176294
3.0,164,180.176294
1.0,164,180.176294
0.0,164,180.176294
0.0,164,180.176294
1.0,154,180.176294
1.0,154,180.176294
1.0,154,180.176294
0.0,154,180.176294
0.0,154,180.176294
2.0,154,180.176294
1.0,154,180.176294
1.0,154,180.176294
0.0,154,180.177292
0.0,154,180.177292
2.0,154,180.177292
0.0,154,180.177292
0.0,154,183.801856
0.0,154,183.802848
0.0,154,183.802904
1.0,154,183.802904
1.0,164,183.802904
0.0,164,183.802904
0.0,164,183.802904
0.0,164,183.802904
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
1.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
3.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
0.0,154,238.52002
1.0,154,238.52002
0.0,154,242.348382
0.0,154,242.348382
1.0,154,242.348382
0.0,154,242.348382
0.0,164,242.348382
2.0,164,242.348382
0.0,164,242.348382
0.0,164,242.348382
1.0,164,242.348382
0.0,164,242.348382
0.0,164,242.348382
2.0,164,242.348382
1.0,164,245.992937
2.0,164,245.992937
0.0,164,245.992937
0.0,164,245.992937
2.0,154,296.43022
0.0,154,296.43022
1.0,154,296.43022
0.0,154,296.431218
0.0,154,296.431218
0.0,154,296.431218
0.0,154,296.431218
0.0,154,296.431218
0.0,154,299.884318
0.0,154,299.884318
2.0,154,299.884318
0.0,154,299.884318
0.0,154,299.884318
0.0,154,299.884318
0.0,154,299.884318
0.0,154,299.884318
2.0,164,299.884318
1.0,164,299.884318
1.0,164,299.884318
0.0,164,299.884318
0.0,164,299.884318
1.0,164,299.884318
1.0,164,299.885316
0.0,164,299.885316
0.0,154,303.41127
0.0,154,303.41127
1.0,154,303.41127
0.0,154,303.41127
1.0,174,307.106188
2.0,174,307.106188
0.0,174,307.106188
0.0,174,307.106188
1.0,154,352.184557
0.0,154,352.184557
0.0,154,352.184557
0.0,154,352.184557
1.0,154,352.184557
0.0,154,352.184557
1.0,154,352.184557
0.0,154,352.184557
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
1.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
0.0,154,355.746376
2.0,154,359.274551
1.0,154,359.275548
0.0,154,359.275548
0.0,154,359.275548
0.0,154,362.889602
0.0,154,362.889602
0.0,154,362.889602
1.0,154,362.889602
1.0,154,409.5043
1.0,154,409.5043
0.0,154,409.5043
0.0,154,409.5043
1.0,138,410.929163
0.0,138,410.929163
0.0,138,410.929163
0.0,138,410.929163
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
1.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.059067
0.0,154,413.060116
0.0,154,413.060116
0.0,154,413.060116
0.0,154,413.060116
