#{"t_start": 1704542314.503003, "env_id": "None"}
r,l,t
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
1.0,152,52.199049
0.0,152,52.199049
1.0,152,52.199049
0.0,152,52.199049
1.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
1.0,152,52.199049
0.0,152,52.199049
1.0,152,52.199049
0.0,152,52.199049
0.0,152,52.199049
0.0,160,54.747753
2.0,160,54.747753
2.0,160,54.747753
0.0,160,54.747753
0.0,160,54.747753
0.0,160,54.747753
2.0,160,54.747753
1.0,160,54.747753
2.0,160,54.747753
1.0,160,54.747753
1.0,160,54.747753
0.0,160,54.747753
0.0,152,103.188711
1.0,152,103.188711
0.0,152,103.188711
0.0,152,103.188711
0.0,152,103.198142
2.0,152,103.198142
0.0,152,103.198142
1.0,152,103.198142
1.0,152,103.198142
1.0,152,103.198142
1.0,152,103.198142
1.0,152,103.198142
1.0,152,103.198142
0.0,152,103.198142
1.0,152,103.198142
0.0,152,103.198142
0.0,152,103.198142
0.0,152,103.198142
0.0,152,103.198142
0.0,152,103.198142
0.0,152,105.832489
0.0,152,105.832489
0.0,152,105.832489
0.0,152,105.832489
0.0,152,105.832489
1.0,152,105.832489
0.0,152,105.832489
0.0,152,105.832489
1.0,160,108.572691
0.0,160,108.572691
0.0,160,108.572691
1.0,160,108.572691
0.0,152,154.399094
0.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
1.0,152,154.399094
0.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
0.0,152,154.399094
0.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
1.0,152,154.399094
2.0,152,154.399094
0.0,152,154.399094
1.0,152,154.399094
2.0,152,157.119796
0.0,152,157.119796
0.0,152,157.119796
0.0,152,157.119796
1.0,160,159.668942
1.0,160,159.668942
0.0,160,159.668942
1.0,160,159.668942
1.0,160,162.365767
0.0,160,162.365767
1.0,160,162.365767
0.0,160,162.365767
0.0,152,206.330271
0.0,152,206.330344
1.0,152,206.330344
0.0,152,206.330344
1.0,152,206.330344
0.0,152,206.330344
0.0,152,206.330344
2.0,152,206.330344
0.0,152,206.330344
0.0,152,206.330344
0.0,152,206.330344
0.0,152,206.330344
0.0,152,206.330344
1.0,152,206.330344
2.0,152,206.330344
0.0,152,206.330344
3.0,160,208.901344
0.0,160,208.901344
0.0,160,208.901344
0.0,160,208.901344
0.0,152,208.901344
0.0,152,208.901344
0.0,152,208.901344
0.0,152,208.901344
0.0,152,211.561212
2.0,152,211.561212
1.0,152,211.561212
0.0,152,211.561212
0.0,160,216.728738
0.0,160,216.728738
0.0,160,216.728738
2.0,160,216.728738
2.0,152,257.20771
2.0,152,257.20771
1.0,152,257.20771
0.0,152,257.20771
0.0,152,257.20771
0.0,152,257.20771
0.0,152,257.20771
0.0,152,257.20771
1.0,160,259.776759
0.0,160,259.776759
0.0,160,259.776759
3.0,160,259.776759
0.0,152,259.776759
0.0,152,259.776759
0.0,152,259.776759
1.0,152,259.776759
0.0,160,262.218344
1.0,160,262.218344
2.0,160,262.218344
0.0,160,262.218344
0.0,160,264.67111
0.0,160,264.67111
0.0,160,264.67111
2.0,160,264.67111
1.0,176,264.67111
2.0,176,264.67111
0.0,176,264.67111
0.0,176,264.67111
1.0,152,267.325923
1.0,152,267.325923
0.0,152,267.325923
0.0,152,267.325923
0.0,152,307.77184
1.0,152,307.77184
0.0,152,307.77184
0.0,152,307.77184
0.0,152,307.77184
2.0,152,307.77184
0.0,152,307.77184
0.0,152,307.77184
0.0,152,310.343867
1.0,152,310.343867
0.0,152,310.343867
0.0,152,310.343867
0.0,152,310.343867
1.0,152,310.343867
0.0,152,310.343867
0.0,152,310.343867
1.0,152,312.906862
0.0,152,312.906862
0.0,152,312.906862
2.0,152,312.906862
1.0,152,315.515903
1.0,152,315.515903
1.0,152,315.515903
0.0,152,315.516902
0.0,160,320.839378
0.0,160,320.839378
1.0,160,320.839378
2.0,160,320.839378
0.0,168,320.839378
1.0,168,320.839378
0.0,168,320.839378
1.0,168,320.839378
0.0,109,352.508398
0.0,109,352.508398
0.0,109,352.508398
0.0,109,352.508398
0.0,152,359.074559
0.0,152,359.074559
1.0,152,359.074559
0.0,152,359.074559
1.0,152,359.074559
0.0,152,359.074559
0.0,152,359.074559
1.0,152,359.074559
0.0,152,361.741944
0.0,152,361.741944
0.0,152,361.741944
1.0,152,361.741944
1.0,152,361.741944
1.0,152,361.741944
0.0,152,361.741944
0.0,152,361.741944
0.0,152,364.323879
0.0,152,364.323879
0.0,152,364.323879
1.0,152,364.323879
0.0,160,374.728866
2.0,160,374.728866
0.0,160,374.729827
1.0,160,374.729827
2.0,168,377.330421
2.0,168,377.331417
0.0,168,377.331417
0.0,168,377.331417
0.0,160,406.110068
1.0,160,406.110068
1.0,160,406.111066
1.0,160,406.111066
0.0,152,409.733799
1.0,152,409.734797
0.0,152,409.734797
0.0,152,409.734797
0.0,152,409.734797
1.0,152,409.734797
0.0,152,409.734797
1.0,152,409.734797
3.0,152,412.416277
0.0,152,412.417272
0.0,152,412.417272
0.0,152,412.417272
0.0,152,412.417272
0.0,152,412.417272
0.0,152,412.417272
1.0,152,412.417272
1.0,168,420.163517
0.0,168,420.163517
1.0,168,420.163517
1.0,168,420.163517
0.0,152,425.368708
1.0,152,425.368708
0.0,152,425.368708
0.0,152,425.368708
1.0,160,430.733305
1.0,160,430.733305
0.0,160,430.733305
0.0,160,430.733305
0.0,160,459.431451
0.0,160,459.431451
0.0,160,459.431451
2.0,160,459.431451
0.0,152,460.367136
0.0,152,460.367136
0.0,152,460.367136
0.0,152,460.367136
1.0,160,462.91727
0.0,160,462.91727
1.0,160,462.91727
0.0,160,462.91727
0.0,152,462.91727
2.0,152,462.91727
0.0,152,462.91727
1.0,152,462.91727
0.0,133,464.456278
0.0,133,464.457276
0.0,133,464.457276
0.0,133,464.457276
1.0,160,465.428152
0.0,160,465.428152
1.0,160,465.428152
2.0,160,465.428152
0.0,152,476.04806
1.0,152,476.04806
0.0,152,476.04806
1.0,152,476.04806
0.0,152,481.453435
0.0,152,481.453435
0.0,152,481.453435
0.0,152,481.453435
0.0,152,510.040035
0.0,152,510.040035
0.0,152,510.040035
1.0,152,510.040035
1.0,152,511.039376
0.0,152,511.039376
0.0,152,511.039376
1.0,152,511.039376
1.0,152,513.587952
0.0,152,513.587952
0.0,152,513.587952
1.0,152,513.587952
0.0,152,515.136879
0.0,152,515.136879
1.0,152,515.136879
0.0,152,515.136879
1.0,152,516.122413
0.0,152,516.122413
0.0,152,516.122413
0.0,152,516.122413
1.0,168,518.652979
2.0,168,518.652979
1.0,168,518.652979
0.0,168,518.652979
0.0,160,529.062499
1.0,160,529.063464
0.0,160,529.063464
1.0,160,529.063464
1.0,152,531.78814
1.0,152,531.78814
0.0,152,531.78814
1.0,152,531.78814
0.0,152,560.953796
1.0,152,560.95476
0.0,152,560.95476
0.0,152,560.95476
0.0,152,562.017855
2.0,152,562.017855
1.0,152,562.017855
0.0,152,562.017855
0.0,152,564.679283
0.0,152,564.679283
0.0,152,564.679283
3.0,152,564.679283
2.0,152,566.2626
0.0,152,566.2626
0.0,152,566.2626
0.0,152,566.2626
0.0,160,569.818594
0.0,160,569.818594
2.0,160,569.818594
0.0,160,569.818594
0.0,152,569.818594
0.0,152,569.818594
1.0,152,569.818594
1.0,152,569.818594
1.0,160,583.059857
2.0,160,583.059857
0.0,160,583.059857
1.0,160,583.059857
0.0,168,588.346759
2.0,168,588.347757
1.0,168,588.347757
0.0,168,588.347757
0.0,152,612.23302
1.0,152,612.23302
0.0,152,612.23302
0.0,152,612.23302
0.0,160,615.889826
0.0,160,615.889826
0.0,160,615.889826
5.0,160,615.889826
1.0,152,617.629124
1.0,152,617.629124
