#{"t_start": 1704661101.7855067, "env_id": "None"}
r,l,t
0.0,159,30.155221
0.0,159,30.155221
1.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
0.0,159,30.155221
1.0,159,30.155221
1.0,159,30.156221
0.0,159,30.156221
0.0,174,32.899242
1.0,174,32.899242
0.0,174,32.899242
0.0,174,32.899242
0.0,174,32.899242
0.0,174,32.899242
2.0,174,32.899242
1.0,174,32.899242
0.0,159,59.152132
0.0,159,59.152132
0.0,159,59.152132
0.0,159,59.152132
0.0,159,59.153709
0.0,159,59.153709
0.0,159,59.153709
1.0,159,59.153709
0.0,159,59.153709
0.0,159,59.153709
1.0,159,59.153709
0.0,159,59.153709
0.0,159,61.766934
1.0,159,61.766934
0.0,159,61.766934
0.0,159,61.766934
0.0,159,61.766934
0.0,159,61.766934
1.0,159,61.766934
1.0,159,61.766934
0.0,174,61.766934
0.0,174,61.766934
1.0,174,61.766934
0.0,174,61.766934
0.0,174,61.766934
1.0,174,61.766934
1.0,174,61.766934
0.0,174,61.766934
0.0,189,64.442825
0.0,189,64.442825
3.0,189,64.442825
2.0,189,64.442825
0.0,159,88.087222
0.0,159,88.087222
0.0,159,88.087222
1.0,159,88.087222
0.0,159,88.087222
0.0,159,88.087222
0.0,159,88.087222
0.0,159,88.087222
0.0,159,90.72623
0.0,159,90.72623
0.0,159,90.72623
0.0,159,90.72623
1.0,174,90.72623
0.0,174,90.727225
0.0,174,90.727225
0.0,174,90.727225
0.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
1.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
0.0,159,90.727225
1.0,159,90.727225
0.0,159,90.727225
0.0,159,93.459633
0.0,159,93.460632
0.0,159,93.460632
1.0,159,93.460632
0.0,159,116.984699
0.0,159,116.984699
0.0,159,116.984699
0.0,159,116.984699
0.0,159,116.984699
1.0,159,116.984699
0.0,159,116.984699
0.0,159,116.984699
2.0,159,119.7227
0.0,159,119.7227
2.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
1.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,119.7227
0.0,159,122.422397
1.0,159,122.422397
0.0,159,122.422397
0.0,159,122.422397
0.0,174,122.422397
0.0,174,122.422397
1.0,174,122.422397
0.0,174,122.422397
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,146.242146
0.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
1.0,159,149.04619
0.0,159,149.04619
1.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
0.0,159,149.04619
0.0,159,151.819459
0.0,159,151.819459
0.0,159,151.819459
0.0,159,151.819459
0.0,174,151.819459
0.0,174,151.819459
1.0,174,151.819459
0.0,174,151.819459
0.0,159,151.819459
0.0,159,151.819459
1.0,159,151.819459
0.0,159,151.819459
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,177.659673
0.0,159,180.538672
0.0,159,180.538672
0.0,159,180.538672
0.0,159,180.538672
0.0,159,183.537317
0.0,159,183.537317
1.0,159,183.537317
0.0,159,183.537317
0.0,174,183.537317
4.0,174,183.537317
0.0,174,183.537317
0.0,174,183.537317
1.0,159,183.537317
0.0,159,183.537317
0.0,159,183.537317
0.0,159,183.537317
0.0,159,183.537317
0.0,159,183.538318
1.0,159,183.538318
0.0,159,183.538318
2.0,201,188.853146
0.0,201,188.853146
0.0,201,188.853146
4.0,201,188.853146
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,208.889344
0.0,159,211.664612
0.0,159,211.664612
0.0,159,211.664612
0.0,159,211.664612
0.0,159,214.622196
0.0,159,214.623159
1.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
1.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,214.623159
0.0,159,219.888965
0.0,159,219.888965
0.0,159,219.888965
0.0,159,219.888965
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,239.365826
0.0,159,242.185055
0.0,159,242.185055
0.0,159,242.185055
0.0,159,242.185055
0.0,159,245.076997
0.0,159,245.076997
0.0,159,245.076997
1.0,159,245.076997
0.0,159,245.076997
0.0,159,245.076997
0.0,159,245.076997
1.0,159,245.076997
0.0,159,245.076997
0.0,159,245.076997
1.0,159,245.076997
0.0,159,245.076997
0.0,174,247.85923
0.0,174,247.85923
0.0,174,247.85923
1.0,174,247.85923
0.0,159,250.331542
0.0,159,250.331542
0.0,159,250.331542
1.0,159,250.331542
0.0,159,269.393937
0.0,159,269.393937
0.0,159,269.393937
1.0,159,269.393937
1.0,159,271.9882
0.0,159,271.9882
0.0,159,271.9882
0.0,159,271.9882
0.0,174,271.9882
1.0,174,271.9882
0.0,174,271.9882
0.0,174,271.9882
0.0,159,274.708674
1.0,159,274.708674
0.0,159,274.708674
0.0,159,274.708674
0.0,159,274.708674
0.0,159,274.708674
3.0,159,274.708674
0.0,159,274.708674
0.0,174,277.328013
1.0,174,277.328013
0.0,174,277.328013
0.0,174,277.328013
1.0,174,280.135459
0.0,174,280.135459
0.0,174,280.135459
0.0,174,280.135459
0.0,174,282.375838
0.0,174,282.375838
0.0,174,282.375838
1.0,174,282.375838
0.0,159,298.873488
0.0,159,298.874488
0.0,159,298.874488
0.0,159,298.874488
