#{"t_start": 1704673781.5703015, "env_id": "None"}
r,l,t
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
1.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
1.0,154,27.638549
0.0,154,27.638549
1.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
1.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
1.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,154,27.638549
0.0,164,29.34724
0.0,164,29.34724
0.0,164,29.34724
1.0,164,29.34724
0.0,174,31.152178
0.0,174,31.152178
0.0,174,31.152178
2.0,174,31.152178
1.0,154,54.70296
0.0,154,54.70296
0.0,154,54.70296
0.0,154,54.70296
0.0,154,54.719591
1.0,154,54.719591
1.0,154,54.719591
1.0,154,54.719591
1.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
1.0,154,54.719591
1.0,154,54.719591
0.0,154,54.719591
0.0,154,54.719591
1.0,154,54.719591
1.0,154,54.719591
0.0,154,54.719591
1.0,154,54.719591
0.0,154,56.377256
0.0,154,56.377256
0.0,154,56.377256
0.0,154,56.377256
0.0,154,58.135053
0.0,154,58.135053
0.0,154,58.135053
0.0,154,58.135053
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
2.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
2.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
2.0,154,81.530451
0.0,154,81.530451
1.0,154,81.530451
1.0,154,81.530451
0.0,154,81.530451
0.0,154,81.530451
0.0,164,83.193134
0.0,164,83.193134
0.0,164,83.193134
1.0,164,83.193134
0.0,154,83.193134
0.0,154,83.193134
0.0,154,83.193134
0.0,154,83.193134
1.0,154,84.91704
1.0,154,84.91704
0.0,154,84.91704
1.0,154,84.91704
0.0,154,108.421118
1.0,154,108.421118
0.0,154,108.421118
1.0,154,108.421118
1.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
1.0,154,108.421118
0.0,154,108.421118
1.0,154,108.421118
0.0,154,108.421118
0.0,154,108.421118
1.0,154,108.421118
