#{"t_start": 1704738044.653747, "env_id": "None"}
r,l,t
1.0,164,2.210692
2.0,164,2.210692
2.0,164,2.210692
0.0,164,2.210692
1.0,164,2.210692
1.0,164,2.210692
0.0,164,2.210692
2.0,164,2.210692
1.0,164,2.210692
1.0,184,2.469565
1.0,184,2.469565
1.0,184,2.469565
1.0,204,2.712768
4.0,204,2.712768
0.0,204,2.712768
3.0,224,2.980697
3.0,224,2.981697
0.0,224,2.981697
5.0,244,3.24632
0.0,244,3.24632
2.0,244,3.24632
5.0,244,3.24632
0.0,244,3.24632
3.0,244,3.24632
2.0,184,4.543482
0.0,184,4.543482
1.0,184,4.543482
3.0,204,4.815509
1.0,204,4.815509
0.0,204,4.815509
1.0,204,4.815509
0.0,204,4.815509
5.0,204,4.815509
1.0,164,4.815509
0.0,164,4.816509
1.0,164,4.816509
3.0,184,5.561001
0.0,184,5.561001
0.0,184,5.574118
2.0,236,5.958583
1.0,236,5.958583
1.0,236,5.958583
1.0,284,6.04542
7.0,284,6.04542
2.0,284,6.04542
2.0,244,6.310254
0.0,244,6.311255
4.0,244,6.311255
0.0,164,6.616054
1.0,164,6.616054
1.0,164,6.616054
0.0,164,6.858982
1.0,164,6.858982
0.0,164,6.858982
3.0,224,7.573467
1.0,224,7.573467
0.0,224,7.573467
2.0,184,7.827255
1.0,184,7.827255
1.0,184,7.827255
0.0,204,8.592951
4.0,204,8.592951
1.0,204,8.592951
3.0,244,9.007715
3.0,244,9.007715
1.0,244,9.007715
3.0,224,9.112077
1.0,224,9.112077
0.0,224,9.112077
0.0,184,9.922958
1.0,184,9.922958
2.0,184,9.922958
3.0,244,9.922958
3.0,244,9.922958
1.0,244,9.922958
5.0,424,10.129179
7.0,424,10.129179
3.0,424,10.129179
1.0,224,10.662547
1.0,224,10.662547
4.0,224,10.662547
0.0,184,10.92793
1.0,184,10.92793
2.0,184,10.92793
2.0,184,11.343879
1.0,184,11.343879
1.0,184,11.343879
5.0,384,11.437627
2.0,384,11.437627
6.0,384,11.437627
1.0,204,11.702231
1.0,204,11.702231
2.0,204,11.702231
2.0,164,12.000234
0.0,164,12.000234
0.0,164,12.000234
1.0,164,12.76435
0.0,164,12.76435
0.0,164,12.76435
2.0,244,13.001166
2.0,244,13.001166
4.0,244,13.001166
2.0,164,13.437877
1.0,164,13.437877
0.0,164,13.437877
1.0,204,13.528134
3.0,204,13.528134
1.0,204,13.528134
0.0,164,13.781364
2.0,164,13.781364
1.0,164,13.781364
3.0,304,13.990276
3.0,304,13.990276
4.0,304,13.990276
2.0,164,14.095851
1.0,164,14.095851
2.0,164,14.095851
1.0,204,15.645171
2.0,204,15.645171
1.0,204,15.645171
3.0,224,15.645171
0.0,224,15.645171
3.0,224,15.645171
2.0,164,15.890188
2.0,164,15.890188
0.0,164,15.890188
3.0,184,15.890188
1.0,184,15.890188
0.0,184,15.890188
4.0,224,16.328278
2.0,224,16.328278
2.0,224,16.328278
7.0,384,16.383265
3.0,384,16.383265
3.0,384,16.383265
3.0,204,16.625484
3.0,204,16.625484
0.0,204,16.625484
2.0,204,16.727127
1.0,204,16.727127
2.0,204,16.727127
0.0,184,17.957696
1.0,184,17.957696
