#{"t_start": 1704738439.2938526, "env_id": "None"}
r,l,t
0.0,164,2.762009
0.0,164,2.762009
3.0,164,2.762009
0.0,164,2.762009
2.0,164,2.762009
2.0,164,2.762009
1.0,164,2.762009
0.0,164,2.762009
2.0,164,2.762009
2.0,184,3.045858
0.0,184,3.045858
1.0,184,3.045858
1.0,244,3.890136
2.0,244,3.890136
3.0,244,3.890136
2.0,284,4.470459
4.0,284,4.470459
4.0,284,4.470459
1.0,164,5.157405
1.0,164,5.157405
2.0,164,5.157405
3.0,164,5.157405
2.0,164,5.157405
0.0,164,5.157405
0.0,184,5.464635
4.0,184,5.464635
0.0,184,5.464635
4.0,364,5.698438
6.0,364,5.698438
4.0,364,5.698438
2.0,184,5.763986
1.0,184,5.763986
0.0,184,5.763986
14.0,501,7.81701
5.0,501,7.81701
2.0,501,7.81701
1.0,164,7.976838
0.0,164,7.976838
0.0,164,7.987502
0.0,164,8.232977
0.0,164,8.232977
2.0,164,8.232977
1.0,164,8.282639
0.0,164,8.282639
1.0,164,8.282639
3.0,224,8.572855
1.0,224,8.572855
4.0,224,8.572855
1.0,324,8.812601
6.0,324,8.812601
2.0,324,8.812601
2.0,244,8.87274
2.0,244,8.87274
3.0,244,8.87274
5.0,304,9.11794
4.0,304,9.11794
1.0,304,9.11794
0.0,164,10.430928
0.0,164,10.430928
1.0,164,10.430928
0.0,184,10.58577
2.0,184,10.58577
2.0,184,10.58577
1.0,164,11.298395
0.0,164,11.298395
1.0,164,11.298395
2.0,204,11.298395
3.0,204,11.298395
1.0,204,11.298395
1.0,184,11.912136
2.0,184,11.912136
0.0,184,11.912136
4.0,264,12.304292
1.0,264,12.304292
1.0,264,12.304292
1.0,264,12.613189
1.0,264,12.613189
3.0,264,12.613189
3.0,264,12.903281
4.0,264,12.903281
1.0,264,12.903281
2.0,164,13.8239
1.0,164,13.8239
1.0,164,13.8239
1.0,224,14.033814
4.0,224,14.033814
1.0,224,14.033814
0.0,224,14.754711
3.0,224,14.754711
1.0,224,14.754711
1.0,164,15.123934
2.0,164,15.123934
1.0,164,15.123934
0.0,164,15.405192
2.0,164,15.405192
1.0,164,15.405192
5.0,364,15.999003
4.0,364,15.999003
5.0,364,15.999003
0.0,164,16.452129
1.0,164,16.452129
0.0,164,16.452129
1.0,184,16.580147
3.0,184,16.580147
0.0,184,16.580147
1.0,304,16.939817
3.0,304,16.939817
4.0,304,16.939817
1.0,353,17.431485
6.0,353,17.431485
3.0,353,17.431485
1.0,204,18.049564
1.0,204,18.049564
0.0,204,18.049564
2.0,184,18.133626
0.0,184,18.133626
0.0,184,18.133626
1.0,164,18.133626
1.0,164,18.133626
2.0,164,18.133626
0.0,164,18.815113
2.0,164,18.815113
2.0,164,18.815113
1.0,184,19.874092
1.0,184,19.874092
3.0,184,19.874092
0.0,164,20.253277
0.0,164,20.253277
1.0,164,20.253277
2.0,184,21.113794
1.0,184,21.113794
1.0,184,21.113794
2.0,264,21.430194
2.0,264,21.430194
2.0,264,21.430194
2.0,304,21.653573
1.0,304,21.653573
5.0,304,21.653573
4.0,224,21.825447
1.0,224,21.825447
1.0,224,21.825447
3.0,224,21.825447
2.0,224,21.825447
1.0,224,21.825447
3.0,204,22.122826
2.0,204,22.122826
2.0,204,22.122826
1.0,184,22.732431
1.0,184,22.732431
0.0,184,22.732431
3.0,204,23.404703
1.0,204,23.404703
0.0,204,23.404703
0.0,164,23.654703
1.0,164,23.654703
1.0,164,23.654703
0.0,184,24.482915
2.0,184,24.482915
0.0,184,24.482915
2.0,224,24.904785
3.0,224,24.904785
2.0,224,24.904785
2.0,184,24.982911
2.0,184,24.982911
0.0,184,24.982911
0.0,184,25.623996
1.0,184,25.623996
0.0,184,25.623996
0.0,244,25.623996
4.0,244,25.623996
4.0,244,25.623996
3.0,204,26.623214
2.0,204,26.623214
0.0,204,26.623214
1.0,244,27.413151
1.0,244,27.413151
4.0,244,27.413151
2.0,204,27.593796
0.0,204,27.593796
3.0,204,27.593796
4.0,404,27.979685
3.0,404,27.979685
6.0,404,27.979685
2.0,224,28.29745
4.0,224,28.29745
1.0,224,28.29745
3.0,264,28.948329
1.0,264,28.948329
2.0,264,28.948329
2.0,264,29.544992
3.0,264,29.544992
2.0,264,29.544992
2.0,284,29.847033
6.0,284,29.847033
0.0,284,29.847033
2.0,184,30.138887
1.0,184,30.138887
1.0,184,30.138887
0.0,184,30.342013
1.0,184,30.342013
3.0,184,30.342013
2.0,184,31.045082
0.0,184,31.045082
1.0,184,31.045082
2.0,224,31.331547
0.0,224,31.331547
3.0,224,31.331547
1.0,344,31.712382
1.0,344,31.712382
7.0,344,31.712382
1.0,184,38.160202
2.0,184,38.160202
1.0,184,38.160202
0.0,164,38.160202
0.0,164,38.160202
0.0,164,38.160202
1.0,224,38.501801
1.0,224,38.501801
2.0,224,38.501801
4.0,264,38.501801
1.0,264,38.501801
3.0,264,38.501801
2.0,184,39.854113
1.0,184,39.854113
0.0,184,39.854113
1.0,164,39.939565
2.0,164,39.940565
0.0,164,39.940565
3.0,264,40.893537
2.0,264,40.893537
3.0,264,40.893537
2.0,164,40.960253
0.0,164,40.960253
1.0,164,40.960253
1.0,204,41.694482
0.0,204,41.694482
1.0,204,41.694482
2.0,184,41.694482
0.0,184,41.694482
1.0,184,41.694482
0.0,184,41.694482
2.0,184,41.694482
0.0,184,41.694482
2.0,164,42.790469
0.0,164,42.790469
0.0,164,42.790469
2.0,204,43.380555
1.0,204,43.380555
1.0,204,43.380555
0.0,164,43.717638
0.0,164,43.717638
1.0,164,43.717638
2.0,501,44.163241
9.0,501,44.163241
9.0,501,44.163241
2.0,204,44.474855
0.0,204,44.474855
1.0,204,44.474855
0.0,164,44.474855
0.0,164,44.474855
1.0,164,44.474855
0.0,184,44.811039
0.0,184,44.811039
2.0,184,44.811039
1.0,184,44.811039
0.0,184,44.811039
1.0,184,44.811039
0.0,164,45.602062
0.0,164,45.602062
1.0,164,45.602062
1.0,164,46.529569
0.0,164,46.529569
0.0,164,46.529569
0.0,204,46.886298
0.0,204,46.886298
3.0,204,46.886298
1.0,164,46.986495
0.0,164,46.986495
1.0,164,46.986495
0.0,164,47.277984
0.0,164,47.277984
0.0,164,47.277984
1.0,164,47.595932
0.0,164,47.595932
1.0,164,47.595932
0.0,184,47.595932
0.0,184,47.595932
3.0,184,47.595932
4.0,204,48.289393
0.0,204,48.289393
1.0,204,48.289393
0.0,164,48.379627
0.0,164,48.379627
2.0,164,48.379627
0.0,164,49.304552
1.0,164,49.305553
0.0,164,49.305553
1.0,164,49.641286
0.0,164,49.641286
1.0,164,49.641286
1.0,164,49.757158
1.0,164,49.757158
2.0,164,49.757158
0.0,164,50.049058
0.0,164,50.049058
1.0,164,50.049058
0.0,164,50.39374
0.0,164,50.39374
1.0,164,50.39374
1.0,164,51.085109
0.0,164,51.086109
0.0,164,51.086109
2.0,204,51.086109
0.0,204,51.086109
2.0,204,51.086109
1.0,204,51.874738
0.0,204,51.874738
3.0,204,51.874738
1.0,184,52.463953
2.0,184,52.463953
1.0,184,52.463953
1.0,164,52.463953
0.0,164,52.463953
0.0,164,52.463953
0.0,164,52.574581
0.0,164,52.574581
1.0,164,52.574581
0.0,164,52.867625
0.0,164,52.867625
1.0,164,52.867625
0.0,164,53.18687
1.0,164,53.18687
0.0,164,53.18687
0.0,164,53.882271
1.0,164,53.882271
1.0,164,53.882271
2.0,204,54.565495
2.0,204,54.565495
2.0,204,54.565495
0.0,164,54.655571
0.0,164,54.655571
2.0,164,54.655571
0.0,164,55.24281
0.0,164,55.24281
0.0,164,55.24281
0.0,164,55.24281
0.0,164,55.24281
1.0,164,55.24281
0.0,164,55.644209
1.0,164,55.644209
1.0,164,55.644209
1.0,184,55.681212
0.0,184,55.681212
2.0,184,55.681212
1.0,164,55.974072
0.0,164,55.974072
1.0,164,55.974072
2.0,184,56.991325
0.0,184,56.991325
1.0,184,56.991325
1.0,164,57.323692
0.0,164,57.323692
0.0,164,57.323692
0.0,164,57.413307
1.0,164,57.413307
1.0,164,57.413307
0.0,164,57.980067
0.0,164,57.980067
2.0,164,57.980067
1.0,184,58.308717
0.0,184,58.308717
1.0,184,58.308717
0.0,164,58.371217
0.0,164,58.371217
1.0,164,58.371217
1.0,164,58.680553
0.0,164,58.680553
0.0,164,58.680553
1.0,184,58.723362
0.0,184,58.723362
1.0,184,58.723362
1.0,164,59.663927
0.0,164,59.663927
3.0,164,59.663927
0.0,164,60.01107
0.0,164,60.01107
1.0,164,60.01107
1.0,164,60.11492
0.0,164,60.11492
2.0,164,60.11492
1.0,164,60.723444
0.0,164,60.724444
0.0,164,60.724444
0.0,164,61.042289
0.0,164,61.042289
0.0,164,61.042289
0.0,164,61.095618
0.0,164,61.095618
2.0,164,61.095618
1.0,164,61.433616
0.0,164,61.433616
2.0,164,61.433616
2.0,164,61.464863
0.0,164,61.464863
0.0,164,61.464863
0.0,164,62.756551
0.0,164,62.756551
0.0,164,62.756551
1.0,184,62.756551
0.0,184,62.756551
0.0,184,62.756551
1.0,164,62.840837
0.0,164,62.840837
0.0,164,62.840837
1.0,164,63.402722
0.0,164,63.402722
0.0,164,63.402722
0.0,164,63.743034
0.0,164,63.743034
0.0,164,63.743034
0.0,164,63.811988
1.0,164,63.811988
1.0,164,63.811988
1.0,164,64.128921
1.0,164,64.128921
3.0,164,64.128921
0.0,164,64.177917
0.0,164,64.177917
1.0,164,64.177917
0.0,164,65.472444
0.0,164,65.472444
1.0,164,65.472444
1.0,164,65.566191
1.0,164,65.566191
1.0,164,65.566191
1.0,204,66.162224
1.0,204,66.162224
2.0,204,66.162224
0.0,164,66.162224
1.0,164,66.162224
0.0,164,66.162224
0.0,164,66.523321
2.0,164,66.523321
1.0,164,66.523321
1.0,164,66.585784
0.0,164,66.585784
2.0,164,66.585784
2.0,164,66.916539
0.0,164,66.916539
0.0,164,66.916539
0.0,184,67.277272
1.0,184,67.277272
1.0,184,67.277272
1.0,164,68.260928
1.0,164,68.260928
1.0,164,68.260928
0.0,164,68.339092
1.0,164,68.339092
0.0,164,68.339092
1.0,164,68.90099
1.0,164,68.90099
1.0,164,68.90099
1.0,164,68.90099
0.0,164,68.90099
1.0,164,68.90099
1.0,164,69.29269
0.0,164,69.29269
0.0,164,69.29269
1.0,184,69.542647
1.0,184,69.542647
2.0,184,69.542647
0.0,184,69.964006
0.0,184,69.964006
2.0,184,69.964006
4.0,184,70.347493
0.0,184,70.347493
1.0,184,70.347493
2.0,164,70.981267
1.0,164,70.981267
1.0,164,70.981267
1.0,164,71.070942
1.0,164,71.070942
0.0,164,71.070942
0.0,184,78.396369
0.0,184,78.396369
1.0,184,78.396369
0.0,164,78.462643
0.0,164,78.462643
1.0,164,78.462643
3.0,164,78.724827
0.0,164,78.724827
1.0,164,78.724827
1.0,204,78.724827
3.0,204,78.724827
2.0,204,78.724827
1.0,184,79.47013
2.0,184,79.47013
2.0,184,79.47013
0.0,164,79.508538
0.0,164,79.508538
1.0,164,79.508538
0.0,164,80.147091
0.0,164,80.147091
1.0,164,80.147091
0.0,164,80.255531
0.0,164,80.255531
0.0,164,80.255531
0.0,164,81.177616
0.0,164,81.177616
1.0,164,81.177616
2.0,164,81.245119
0.0,164,81.245255
2.0,164,81.245255
1.0,164,81.526982
1.0,164,81.526982
0.0,164,81.526982
1.0,184,81.869961
0.0,184,81.869961
2.0,184,81.869961
3.0,164,82.26701
0.0,164,82.26701
1.0,164,82.26701
1.0,164,82.301437
1.0,164,82.301437
0.0,164,82.301437
1.0,184,83.318737
1.0,184,83.318737
2.0,184,83.318737
2.0,184,83.418467
0.0,184,83.418467
1.0,184,83.418467
0.0,164,84.017504
0.0,164,84.017504
0.0,164,84.017504
0.0,164,84.086688
1.0,164,84.086688
1.0,164,84.086688
0.0,164,84.35732
1.0,164,84.35732
0.0,164,84.35732
0.0,164,84.686617
0.0,164,84.686617
1.0,164,84.686617
0.0,164,85.092647
0.0,164,85.092647
2.0,164,85.092647
0.0,164,85.129101
2.0,164,85.13011
1.0,164,85.13011
0.0,164,86.195604
0.0,164,86.195604
0.0,164,86.195604
0.0,164,86.783914
0.0,164,86.783914
0.0,164,86.783914
1.0,204,86.783914
1.0,204,86.783914
3.0,204,86.783914
0.0,164,86.846414
1.0,164,86.846414
0.0,164,86.846414
0.0,164,87.461895
0.0,164,87.461895
3.0,164,87.461895
1.0,184,87.461895
0.0,184,87.461895
2.0,184,87.461895
0.0,164,87.914966
0.0,164,87.914966
0.0,164,87.914966
2.0,184,88.21258
1.0,184,88.21258
1.0,184,88.21258
1.0,164,89.596875
0.0,164,89.596875
0.0,164,89.596875
1.0,164,89.596875
0.0,164,89.596875
1.0,164,89.596875
0.0,164,89.678507
1.0,164,89.678507
1.0,164,89.678507
0.0,164,90.292352
0.0,164,90.292352
1.0,164,90.292352
2.0,164,90.292352
0.0,164,90.292352
1.0,164,90.292352
2.0,244,90.402052
2.0,244,90.402052
2.0,244,90.402052
0.0,164,90.730184
1.0,164,90.730184
0.0,164,90.730184
0.0,184,91.403515
3.0,184,91.403515
2.0,184,91.403515
0.0,164,92.429644
0.0,164,92.429644
2.0,164,92.429644
0.0,164,92.429644
0.0,164,92.429644
1.0,164,92.429644
1.0,164,92.492141
0.0,164,92.492141
1.0,164,92.492141
0.0,164,93.113998
0.0,164,93.113998
2.0,164,93.113998
0.0,184,93.520365
1.0,184,93.520365
0.0,184,93.520365
0.0,164,93.535993
0.0,164,93.535993
1.0,164,93.535993
2.0,204,93.770365
1.0,204,93.770365
0.0,204,93.770365
0.0,164,94.174799
