#{"t_start": 1704566592.3334267, "env_id": "None"}
r,l,t
0.0,159,61.320902
0.0,159,61.320902
1.0,159,61.320902
1.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
0.0,159,61.320902
1.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
1.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
0.0,159,61.321899
1.0,174,66.960715
0.0,174,66.960715
0.0,174,66.960715
1.0,174,66.960715
1.0,159,121.357236
0.0,159,121.357236
0.0,159,121.357236
0.0,159,121.357236
0.0,159,121.366626
1.0,159,121.366626
0.0,159,121.366626
1.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
1.0,159,121.366626
0.0,159,121.366626
0.0,159,121.366626
1.0,159,121.366626
0.0,159,121.366626
1.0,159,121.366626
0.0,174,127.813707
0.0,174,127.813707
1.0,174,127.813707
0.0,174,127.813707
2.0,174,127.813707
0.0,174,127.813707
0.0,174,127.813707
1.0,174,127.813707
1.0,174,133.44813
0.0,174,133.44813
0.0,174,133.44813
2.0,174,133.44813
0.0,159,182.109788
0.0,159,182.109788
0.0,159,182.109788
0.0,159,182.109788
0.0,159,182.109788
1.0,159,182.109788
0.0,159,182.110756
0.0,159,182.110756
1.0,159,187.451592
0.0,159,187.451592
0.0,159,187.451592
0.0,159,187.451592
0.0,174,187.451592
0.0,174,187.451592
0.0,174,187.451592
1.0,174,187.451592
0.0,174,187.451592
0.0,174,187.451592
1.0,174,187.451592
1.0,174,187.451592
0.0,159,187.451592
0.0,159,187.451592
0.0,159,187.451592
0.0,159,187.451592
0.0,174,187.451592
1.0,174,187.45262
0.0,174,187.45262
1.0,174,187.45262
0.0,159,192.835108
1.0,159,192.835108
0.0,159,192.835108
1.0,159,192.835108
0.0,159,241.572168
0.0,159,241.572168
0.0,159,241.572168
0.0,159,241.573165
1.0,159,241.573165
0.0,159,241.573165
0.0,159,241.573165
0.0,159,241.573165
0.0,159,247.089567
0.0,159,247.089567
0.0,159,247.089567
1.0,159,247.089567
1.0,159,247.089567
2.0,159,247.089567
0.0,159,247.089567
0.0,159,247.089567
0.0,159,247.089567
0.0,159,247.089567
1.0,159,247.089567
1.0,159,247.089567
0.0,159,247.089567
0.0,159,247.089567
1.0,159,247.089567
1.0,159,247.089567
0.0,174,252.721784
0.0,174,252.721784
1.0,174,252.721784
0.0,174,252.721784
1.0,174,258.333649
0.0,174,258.333649
1.0,174,258.333649
0.0,174,258.333649
0.0,159,300.21795
0.0,159,300.21795
1.0,159,300.21795
0.0,159,300.21795
0.0,159,300.21795
0.0,159,300.21795
0.0,159,300.21795
0.0,159,300.21795
1.0,159,305.350244
0.0,159,305.350244
0.0,159,305.350244
1.0,159,305.350244
0.0,159,305.350244
0.0,159,305.350244
0.0,159,305.350244
0.0,159,305.350244
1.0,159,305.350244
0.0,159,305.350244
0.0,159,305.350244
1.0,159,305.350244
0.0,159,310.722542
0.0,159,310.722542
0.0,159,310.722542
0.0,159,310.722542
1.0,174,310.722542
0.0,174,310.722542
1.0,174,310.722542
0.0,174,310.722542
0.0,156,314.985415
0.0,156,314.985415
0.0,156,314.985415
0.0,156,314.985415
1.0,159,358.006852
0.0,159,358.006852
0.0,159,358.006852
0.0,159,358.006852
1.0,159,358.006852
0.0,159,358.006852
0.0,159,358.006852
0.0,159,358.006852
0.0,159,363.302004
1.0,159,363.302004
0.0,159,363.302004
0.0,159,363.302004
0.0,159,363.302004
0.0,159,363.302004
0.0,159,363.302004
0.0,159,363.302004
0.0,159,368.671368
0.0,159,368.671368
0.0,159,368.671368
1.0,159,368.671368
0.0,159,372.974858
2.0,159,372.974858
1.0,159,372.974858
0.0,159,372.974858
0.0,174,374.043221
1.0,174,374.043221
0.0,174,374.043221
0.0,174,374.043221
0.0,189,374.043221
1.0,189,374.043221
0.0,189,374.043221
1.0,189,374.044219
0.0,159,416.613095
0.0,159,416.613095
0.0,159,416.613095
2.0,159,416.613095
0.0,174,422.065824
0.0,174,422.065824
1.0,174,422.065824
0.0,174,422.065824
0.0,159,422.065824
1.0,159,422.065824
0.0,159,422.065824
0.0,159,422.065824
0.0,159,422.065824
1.0,159,422.065824
0.0,159,422.065824
0.0,159,422.065824
0.0,159,427.430342
0.0,159,427.430342
0.0,159,427.430342
1.0,159,427.430342
1.0,159,431.712488
1.0,159,431.712488
0.0,159,431.712488
0.0,159,431.712488
0.0,159,432.809706
0.0,159,432.809706
0.0,159,432.809706
1.0,159,432.809706
0.0,159,432.809706
0.0,159,432.809706
0.0,159,432.809706
0.0,159,432.809706
0.0,159,475.99447
0.0,159,475.99447
0.0,159,475.99447
0.0,159,475.99447
1.0,159,481.792583
0.0,159,481.792583
1.0,159,481.792583
1.0,159,481.792583
0.0,159,481.792583
1.0,159,481.792583
0.0,159,481.792583
0.0,159,481.792583
1.0,159,487.501453
0.0,159,487.501453
2.0,159,487.501453
1.0,159,487.501453
0.0,159,492.067525
0.0,159,492.067525
0.0,159,492.067525
1.0,159,492.067525
0.0,159,493.187402
0.0,159,493.187402
2.0,159,493.187402
0.0,159,493.187402
1.0,159,493.187402
0.0,159,493.187402
0.0,159,493.187402
1.0,159,493.187402
2.0,201,497.466954
1.0,201,497.466954
1.0,201,497.466954
0.0,201,497.466954
1.0,159,535.58163
