#{"t_start": 1703693083.473825, "env_id": "None"}
r,l,t
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
1.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
1.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.11414
0.0,164,51.115137
0.0,164,51.115137
0.0,164,51.115137
0.0,184,57.016634
1.0,184,57.016634
0.0,184,57.016634
0.0,184,57.016634
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
1.0,164,101.556352
0.0,164,101.556352
1.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,164,101.556352
0.0,184,107.471184
0.0,184,107.471184
0.0,184,107.471184
1.0,184,107.471184
2.0,184,107.471184
0.0,184,107.471184
0.0,184,107.471184
0.0,184,107.471184
1.0,184,107.471184
0.0,184,107.471184
0.0,184,107.471184
0.0,184,107.471184
1.0,184,113.653513
0.0,184,113.653513
0.0,184,113.653513
0.0,184,113.653513
